iter	Passed	Remaining
0	41	58781
1	83	59496
2	122	58226
3	166	59387
4	208	59474
5	252	60026
6	302	61434
7	347	61828
8	390	61586
9	432	61471
10	471	60803
11	514	60786
12	559	60953
13	603	60998
14	647	61052
15	689	60895
16	731	60836
17	772	60593
18	815	60533
19	856	60363
20	896	60174
21	939	60149
22	1003	61367
23	1040	60978
24	1082	60840
25	1124	60714
26	1166	60602
27	1208	60502
28	1250	60408
29	1296	60490
30	1337	60376
31	1381	60358
32	1422	60199
33	1463	60086
34	1505	60021
35	1548	59969
36	1587	59783
37	1631	59751
38	1674	59707
39	1715	59604
40	1756	59503
41	1801	59530
42	1845	59530
43	1890	59549
44	1933	59495
45	1973	59370
46	2018	59394
47	2062	59377
48	2106	59370
49	2146	59255
50	2188	59184
51	2231	59134
52	2273	59056
53	2317	59061
54	2360	59010
55	2399	58864
56	2441	58805
57	2483	58738
58	2526	58716
59	2568	58646
60	2612	58626
61	2653	58544
62	2696	58518
63	2740	58502
64	2782	58436
65	2825	58383
66	2866	58320
67	2909	58266
68	2948	58157
69	2987	58045
70	3029	57983
71	3070	57906
72	3109	57806
73	3152	57770
74	3195	57737
75	3236	57657
76	3279	57623
77	3322	57587
78	3362	57507
79	3403	57430
80	3442	57330
81	3483	57267
82	3524	57194
83	3564	57110
84	3607	57082
85	3648	57013
86	3690	56970
87	3729	56881
88	3774	56868
89	3819	56869
90	3861	56817
91	3905	56806
92	3946	56734
93	3986	56656
94	4030	56641
95	4072	56587
96	4114	56548
97	4157	56514
98	4196	56420
99	4238	56374
100	4278	56299
101	4318	56230
102	4360	56172
103	4400	56106
104	4444	56082
105	4485	56024
106	4528	55991
107	4573	55977
108	4614	55922
109	4658	55902
110	4698	55827
111	4742	55813
112	4783	55750
113	4823	55685
114	4867	55655
115	4913	55659
116	4957	55630
117	4998	55579
118	5043	55561
119	5086	55527
120	5128	55478
121	5171	55447
122	5210	55371
123	5253	55335
124	5300	55339
125	5341	55278
126	5385	55254
127	5426	55196
128	5470	55175
129	5517	55172
130	5556	55100
131	5597	55040
132	5639	55000
133	5679	54927
134	5723	54907
135	5766	54867
136	5812	54856
137	5852	54795
138	5895	54759
139	5937	54712
140	5975	54631
141	6018	54590
142	6060	54545
143	6101	54486
144	6143	54442
145	6182	54369
146	6224	54329
147	6267	54286
148	6308	54239
149	6352	54203
150	6395	54167
151	6439	54145
152	6481	54098
153	6522	54040
154	6562	53980
155	6604	53937
156	6648	53907
157	6686	53828
158	6726	53773
159	6770	53737
160	6813	53700
161	6854	53647
162	6893	53582
163	6938	53559
164	6977	53494
165	7016	53429
166	7057	53378
167	7100	53335
168	7140	53278
169	7185	53257
170	7225	53200
171	7264	53133
172	7307	53098
173	7349	53051
174	7392	53011
175	7437	52988
176	7477	52934
177	7519	52889
178	7561	52846
179	7604	52809
180	7644	52751
181	7684	52694
182	7727	52658
183	7768	52604
184	7808	52548
185	7850	52507
186	7891	52457
187	7933	52409
188	7974	52363
189	8014	52307
190	8056	52258
191	8096	52208
192	8141	52179
193	8183	52137
194	8224	52086
195	8267	52049
196	8308	52004
197	8351	51965
198	8396	51938
199	8436	51884
200	8478	51838
201	8518	51785
202	8560	51742
203	8599	51683
204	8639	51627
205	8685	51609
206	8728	51572
207	8770	51527
208	8814	51496
209	8856	51454
210	8900	51419
211	8938	51356
212	8979	51305
213	9022	51266
214	9065	51230
215	9107	51186
216	9148	51139
217	9189	51088
218	9231	51046
219	9274	51008
220	9310	50935
221	9353	50897
222	9393	50843
223	9439	50819
224	9477	50758
225	9523	50734
226	9564	50687
227	9606	50645
228	9648	50600
229	9689	50556
230	9729	50500
231	9773	50466
232	9812	50410
233	9855	50374
234	9898	50332
235	9937	50278
236	9979	50235
237	10020	50189
238	10071	50188
239	10116	50159
240	10162	50136
241	10206	50106
242	10249	50067
243	10295	50043
244	10337	49998
245	10379	49957
246	10421	49914
247	10460	49857
248	10503	49815
249	10543	49766
250	10585	49721
251	10623	49660
252	10661	49600
253	10703	49555
254	10743	49506
255	10780	49439
256	10821	49392
257	10858	49328
258	10900	49283
259	10941	49234
260	10976	49165
261	11016	49111
262	11057	49064
263	11095	49003
264	11139	48969
265	11176	48906
266	11219	48868
267	11260	48821
268	11301	48778
269	11342	48729
270	11385	48691
271	11427	48649
272	11468	48605
273	11511	48567
274	11555	48532
275	11599	48499
276	11644	48467
277	11684	48420
278	11724	48366
279	11767	48332
280	11807	48280
281	11851	48247
282	11897	48221
283	11938	48173
284	11983	48146
285	12022	48089
286	12061	48034
287	12103	47992
288	12143	47942
289	12186	47906
290	12224	47849
291	12267	47810
292	12309	47766
293	12348	47712
294	12391	47676
295	12432	47631
296	12477	47597
297	12520	47559
298	12560	47511
299	12600	47462
300	12643	47423
301	12685	47381
302	12725	47333
303	12766	47288
304	12811	47254
305	12828	47122
306	12870	47078
307	12914	47045
308	12956	47005
309	13002	46978
310	13043	46932
311	13084	46884
312	13125	46839
313	13168	46803
314	13212	46766
315	13252	46720
316	13290	46662
317	13331	46617
318	13374	46579
319	13416	46536
320	13461	46506
321	13503	46464
322	13544	46420
323	13586	46380
324	13628	46336
325	13668	46286
326	13708	46240
327	13752	46205
328	13799	46180
329	13839	46133
330	13884	46100
331	13926	46058
332	13967	46013
333	14011	45978
334	14054	45938
335	14099	45906
336	14140	45862
337	14183	45823
338	14226	45785
339	14267	45739
340	14305	45685
341	14343	45631
342	14386	45591
343	14429	45554
344	14471	45511
345	14517	45483
346	14559	45439
347	14601	45398
348	14641	45351
349	14683	45307
350	14724	45264
351	14764	45216
352	14806	45174
353	14846	45127
354	14889	45087
355	14927	45032
356	14971	44999
357	15008	44940
358	15050	44900
359	15090	44851
360	15131	44807
361	15172	44762
362	15212	44715
363	15255	44677
364	15295	44630
365	15338	44591
366	15379	44546
367	15419	44499
368	15459	44452
369	15502	44412
370	15541	44362
371	15582	44316
372	15622	44270
373	15663	44225
374	15704	44180
375	15749	44149
376	15793	44111
377	15836	44075
378	15879	44034
379	15921	43992
380	15963	43951
381	16006	43913
382	16047	43869
383	16089	43826
384	16129	43780
385	16169	43733
386	16212	43692
387	16255	43654
